"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-118.38	34.02	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.06	34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.21	34.2	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.57	34.05	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.38	33.7	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.44	33.68	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.12	33.19	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.45	33.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.37	33.25	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.84	33.66	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.32	33.63	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.85	33.5	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.27	33.67	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.03	32.85	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.03	34.02	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.91	33.58	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.82	33.73	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.39	34.07	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.8	33.84	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.81	33.74	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.01	34.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.04	32.84	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.37	34.01	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.71	34.1	"unknown"	1	0	1	"lepida"
