"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-118.38	34.02	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.92	32.27	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.06	34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-114.66	33.32	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.21	34.2	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.8	34.87	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.87	32.26	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.57	34.05	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.38	33.7	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.44	33.68	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.2	32.25	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-114.76	32.5	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.06	32.42	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.31	32.47	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.12	33.19	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.45	33.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.37	33.25	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.84	33.66	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.32	33.63	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.65	33.55	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-112.24	33.17	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.85	33.5	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.11	32.19	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.81	32.32	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.27	33.67	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.03	32.85	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-114.37	32.62	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.03	34.02	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.91	33.58	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.8	33.77	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.82	33.73	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.39	34.07	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.8	33.84	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.81	33.74	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.96	32.38	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.16	32.32	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.61	33.46	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.01	34.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.04	32.84	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.83	32.29	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.37	34.01	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.71	34.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.21	33	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.67	34.45	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.16	34.09	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-114.49	33	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.23	32.86	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.3	32.95	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.11	34.34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.01	32.86	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.36	33.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.67	33.54	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.98	32.34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.95	32.35	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.45	32.37	"unknown"	1	0	1	"lepida"
