"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"dumosum"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-100.64	25.41	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.06	25.31	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.5	25.62	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.08	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.06	25.25	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.34	24.83	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.61	25.4	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.76	25.49	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.06	25.07	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.63	25.46	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.73	25.32	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.63	25.09	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-100.83	25.32	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.68	24.7	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.07	25.34	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale Henry, 1858"	-101.07	25.3	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.43	25.24	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.91	25.3	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.84	25.26	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.68	24.7	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.34	24.83	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.81	25.44	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.06	25.31	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.07	25.34	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.99	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.01	25.08	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.08	25.19	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.68	24.71	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.66	24.62	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.98	25.37	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.07	25.3	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.95	25.37	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.85	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.02	25.21	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.06	25.25	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.97	25.44	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.84	25.31	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.49	25.62	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.1	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.09	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.92	25.05	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.07	25.33	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.07	25.07	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.05	25.34	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-100.3	25.44	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale dumosum"	-101.02	25.02	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale"	-101.2	25.44	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale dumosum"	-100.89	25.36	"unknown"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-101.02	25.02	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.92	25.37	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.83	25.35	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.32	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.38	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.36	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.81	25.43	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum"	-101.02	25.02	"dumosum"	0	1	1	"dumosum"
"Toxostoma crissale dumosum"	-100.89	25.36	"dumosum"	0	1	1	"dumosum"
