assigned,longitude,latitude
insularum,-110.96,29.69
insularum,-110,27.45
insularum,-109.88,27.65
insularum,-111.12,27.99
insularum,-109.53,28.46
insularum,-111.02,29.06
insularum,-110.79,29.53
insularum,-110.99,27.94
insularum,-110.59,28.2
insularum,-110.91,29.13
insularum,-113.15,31.39
insularum,-110.9,29.01
insularum,-110.39,29.43
insularum,-111.05,29.16
insularum,-112.67,29.93
insularum,-111.01,28.27
insularum,-110.81,29.2
insularum,-109.87,27.51
insularum,-111.42,28.29
insularum,-113.48,31.33
insularum,-111.12,28.3
insularum,-113.59,31.36
insularum,-110.75,27.92
insularum,-110.9,27.89
insularum,-110.23,27.58
insularum,-110.32,29.13
insularum,-110.09,27.56
insularum,-108.14,27.25
insularum,-110.44,27.77
insularum,-109.91,27.86
insularum,-112.15,28.99
insularum,-112.1,29.4
insularum,-109.95,28.62
insularum,-110.62,29.92
insularum,-108.53,28.13
insularum,-108.27,27.38
insularum,-110.62,28.75
insularum,-110.3,28.5
insularum,-110.12,28.52
insularum,-110.58,28.62
insularum,-109.72,28.58
insularum,-110.85,27.97
insularum,-110.98,29.4
insularum,-108.05,27.3
insularum,-109.62,28.62
insularum,-108.77,27.98
insularum,-112.38,29
insularum,-112.32,28.76
insularum,-113.18,28.83
insularum,-112.63,28.67
insularum,-112.34,29.22
